state,district,date,total_enrolments,age_weighted_load,growth_rate,volatility,anomaly
100000,100000,2025-09-30,4.0,6.0,0.0,,0
Andaman & Nicobar Islands,Andamans,2025-09-30,6.0,7.0,0.0,2.8867513459481287,0
Andaman & Nicobar Islands,Andamans,2025-10-31,6.0,7.2,0.0,2.8867513459481287,0
Andaman & Nicobar Islands,Andamans,2025-11-30,1.0,1.2,-0.8333333333333334,2.8867513459481287,0
Andaman & Nicobar Islands,Nicobars,2025-09-30,1.0,1.2,0.0,,0
Andaman & Nicobar Islands,South Andaman,2025-09-30,8.0,9.6,0.0,4.242640687119285,0
Andaman & Nicobar Islands,South Andaman,2025-10-31,2.0,2.4,-0.75,4.242640687119285,0
Andaman and Nicobar Islands,Nicobar,2025-09-30,23.0,26.999999999999996,0.0,14.142135623730951,0
Andaman and Nicobar Islands,Nicobar,2025-10-31,3.0,3.4,-0.8695652173913043,14.142135623730951,0
Andaman and Nicobar Islands,North And Middle Andaman,2025-09-30,16.0,19.2,0.0,7.0710678118654755,0
Andaman and Nicobar Islands,North And Middle Andaman,2025-10-31,6.0,7.199999999999999,-0.625,7.0710678118654755,0
Andaman and Nicobar Islands,South Andaman,2025-09-30,18.0,21.2,0.0,8.144527815247077,0
Andaman and Nicobar Islands,South Andaman,2025-10-31,5.0,6.0,-0.7222222222222222,8.144527815247077,0
Andaman and Nicobar Islands,South Andaman,2025-11-30,3.0,3.5999999999999996,-0.4,8.144527815247077,0
Andhra Pradesh,Adilabad,2025-09-30,219.0,254.6,0.0,94.49294506293401,0
Andhra Pradesh,Adilabad,2025-10-31,101.0,116.39999999999999,-0.5388127853881279,94.49294506293401,0
Andhra Pradesh,Adilabad,2025-11-30,34.0,39.8,-0.6633663366336633,94.49294506293401,0
Andhra Pradesh,Adilabad,2025-12-31,7.0,8.0,-0.7941176470588236,94.49294506293401,0
Andhra Pradesh,Alluri Sitharama Raju,2025-09-30,95.0,111.7,0.0,46.256531070397685,0
Andhra Pradesh,Alluri Sitharama Raju,2025-10-31,85.0,100.3,-0.10526315789473684,46.256531070397685,0
Andhra Pradesh,Alluri Sitharama Raju,2025-11-30,19.0,22.6,-0.7764705882352941,46.256531070397685,0
Andhra Pradesh,Alluri Sitharama Raju,2025-12-31,3.0,3.4000000000000004,-0.8421052631578947,46.256531070397685,0
Andhra Pradesh,Anakapalli,2025-09-30,45.0,53.8,0.0,19.619293225462194,0
Andhra Pradesh,Anakapalli,2025-10-31,25.0,29.799999999999997,-0.4444444444444444,19.619293225462194,0
Andhra Pradesh,Anakapalli,2025-11-30,8.0,9.6,-0.6799999999999999,19.619293225462194,0
Andhra Pradesh,Anakapalli,2025-12-31,1.0,1.2,-0.875,19.619293225462194,0
Andhra Pradesh,Anantapur,2025-09-30,416.0,490.79999999999995,0.0,215.97376383872802,0
