state,district,date,total_enrolments,age_weighted_load,growth_rate,volatility,anomaly,ASSI,stress_level
100000,100000,2025-09-30,4.0,0.00041578600880080386,0.01367495970787706,,0.0,,High
Andaman & Nicobar Islands,Andamans,2025-09-30,6.0,0.00048508367693427115,0.01367495970787706,0.0004718921156131856,0.0,0.37071518208656107,Low
Andaman & Nicobar Islands,Andamans,2025-10-31,6.0,0.0004989432105609646,0.01367495970787706,0.0004718921156131856,0.0,0.37126956343162876,Low
Andaman & Nicobar Islands,Andamans,2025-11-30,1.0,8.315720176016076e-05,0.0022692720556455413,0.0004718921156131856,0.0,0.06949593177380867,Low
Andaman & Nicobar Islands,Nicobars,2025-09-30,1.0,8.315720176016076e-05,0.01367495970787706,,0.0,,High
Andaman & Nicobar Islands,South Andaman,2025-09-30,8.0,0.0006652576140812861,0.01367495970787706,0.000693536938136851,0.0,0.382355036022915,Low
Andaman & Nicobar Islands,South Andaman,2025-10-31,2.0,0.00016631440352032152,0.0034098408208686933,0.000693536938136851,0.0,0.1057693354252672,Low
Andaman and Nicobar Islands,Nicobar,2025-09-30,23.0,0.0018710370396036171,0.01367495970787706,0.002311789793789504,0.0,0.46295127015686127,Low
Andaman and Nicobar Islands,Nicobar,2025-10-31,3.0,0.00023561207165378884,0.001773372592505042,0.002311789793789504,0.0,0.09999459355456769,Low
Andaman and Nicobar Islands,North And Middle Andaman,2025-09-30,16.0,0.0013305152281625722,0.01367495970787706,0.001155894896894752,0.0,0.41821249976132446,Low
Andaman and Nicobar Islands,North And Middle Andaman,2025-10-31,6.0,0.0004989432105609646,0.005120693968703422,0.001155894896894752,0.0,0.17109297557791917,Low
Andaman and Nicobar Islands,South Andaman,2025-09-30,18.0,0.0014691105644295069,0.01367495970787706,0.0013313714971682359,0.0,0.4272658452174716,Low
Andaman and Nicobar Islands,South Andaman,2025-10-31,5.0,0.00041578600880080386,0.003790030409276411,0.0013313714971682359,0.0,0.13800963052730714,Low
